X,Y,Z,formation
0.556628622,0.2,0.504106628,fault3
0.649692713,0.2,0.537292336,fault3
0.755048288,0.2,0.563072968,fault3
0.858647937,0.2,0.585158366,fault3
0.962247586,0.2,0.609092193,fault3
1.060579456,0.2,0.618243457,fault3
1.162423178,0.2,0.623694618,fault3
1.267778753,0.2,0.629142533,fault3
1.357330992,0.2,0.636453483,fault3
1.476733977,0.2,0.65113056,fault3
0.012291484,0.5,0.329008973,fault3
0.110623354,0.5,0.34925081,fault3
0.22475856,0.5,0.386113902,fault3
0.330114135,0.5,0.426681965,fault3
0.453028973,0.5,0.465385371,fault3
0.556628622,0.5,0.504106628,fault3
0.649692713,0.5,0.537292336,fault3
0.755048288,0.5,0.563072968,fault3
0.858647937,0.5,0.585158366,fault3
0.962247586,0.5,0.609092193,fault3
1.060579456,0.5,0.618243457,fault3
1.162423178,0.5,0.623694618,fault3
1.267778753,0.5,0.629142533,fault3
1.357330992,0.5,0.636453483,fault3
1.476733977,0.5,0.65113056,fault3
0.012291484,0.8,0.329008973,fault3
0.110623354,0.8,0.34925081,fault3
0.22475856,0.8,0.386113902,fault3
0.330114135,0.8,0.426681965,fault3
0.453028973,0.8,0.465385371,fault3
0.556628622,0.8,0.504106628,fault3
0.649692713,0.8,0.537292336,fault3
0.755048288,0.8,0.563072968,fault3
0.858647937,0.8,0.585158366,fault3
0.962247586,0.8,0.609092193,fault3
1.060579456,0.8,0.618243457,fault3
1.162423178,0.8,0.623694618,fault3
1.267778753,0.8,0.629142533,fault3
1.357330992,0.8,0.636453483,fault3
1.476733977,0.8,0.65113056,fault3
0.231782265,0.2,0.994240497,fault4
0.330114135,0.2,0.975665329,fault4
0.405618964,0.2,0.951565971,fault4
0.502194908,0.2,0.925598711,fault4
0.591747147,0.2,0.903334799,fault4
0.679543459,0.2,0.881072511,fault4
0.762071993,0.2,0.845876089,fault4
0.853380158,0.2,0.812519981,fault4
0.930640913,0.2,0.764389426,fault4
1.023705004,0.2,0.729183267,fault4
1.134328358,0.2,0.695809308,fault4
1.223880597,0.2,0.679090683,fault4
1.316944688,0.2,0.669762528,fault4
1.417032485,0.2,0.664124739,fault4
1.538191396,0.2,0.656619047,fault4
1.624231782,0.2,0.665781671,fault4
1.727831431,0.2,0.678624925,fault4
1.826163301,0.2,0.693321476,fault4
1.920983319,0.2,0.693233842,fault4
1.992976295,0.2,0.695015734,fault4
0.231782265,0.5,0.994240497,fault4
0.330114135,0.5,0.975665329,fault4
0.405618964,0.5,0.951565971,fault4
0.502194908,0.5,0.925598711,fault4
0.591747147,0.5,0.903334799,fault4
0.679543459,0.5,0.881072511,fault4
0.762071993,0.5,0.845876089,fault4
0.853380158,0.5,0.812519981,fault4
0.930640913,0.5,0.764389426,fault4
1.023705004,0.5,0.729183267,fault4
1.134328358,0.5,0.695809308,fault4
1.223880597,0.5,0.679090683,fault4
1.316944688,0.5,0.669762528,fault4
1.417032485,0.5,0.664124739,fault4
1.538191396,0.5,0.656619047,fault4
1.624231782,0.5,0.665781671,fault4
1.727831431,0.5,0.678624925,fault4
1.826163301,0.5,0.693321476,fault4
1.920983319,0.5,0.693233842,fault4
1.992976295,0.5,0.695015734,fault4
0.231782265,0.8,0.994240497,fault4
0.330114135,0.8,0.975665329,fault4
0.405618964,0.8,0.951565971,fault4
0.502194908,0.8,0.925598711,fault4
0.591747147,0.8,0.903334799,fault4
0.679543459,0.8,0.881072511,fault4
0.762071993,0.8,0.845876089,fault4
0.853380158,0.8,0.812519981,fault4
0.930640913,0.8,0.764389426,fault4
1.023705004,0.8,0.729183267,fault4
1.134328358,0.8,0.695809308,fault4
1.223880597,0.8,0.679090683,fault4
1.316944688,0.8,0.669762528,fault4
1.417032485,0.8,0.664124739,fault4
1.538191396,0.8,0.656619047,fault4
1.624231782,0.8,0.665781671,fault4
1.727831431,0.8,0.678624925,fault4
1.826163301,0.8,0.693321476,fault4
1.920983319,0.8,0.693233842,fault4
1.992976295,0.8,0.695015734,fault4
1.45215101,0.2,0.85817731,fault5
1.50834065,0.2,0.824853659,fault5
1.575065847,0.2,0.785974985,fault5
1.654082529,0.2,0.747084951,fault5
1.73309921,0.2,0.734072921,fault5
1.827919227,0.2,0.715500999,fault5
1.910447761,0.2,0.702485723,fault5
1.98595259,0.2,0.693173796,fault5
1.45215101,0.5,0.85817731,fault5
1.50834065,0.5,0.824853659,fault5
1.575065847,0.5,0.785974985,fault5
1.654082529,0.5,0.747084951,fault5
1.73309921,0.5,0.734072921,fault5
1.827919227,0.5,0.715500999,fault5
1.910447761,0.5,0.702485723,fault5
1.98595259,0.5,0.693173796,fault5
1.45215101,0.8,0.85817731,fault5
1.50834065,0.8,0.824853659,fault5
1.575065847,0.8,0.785974985,fault5
1.654082529,0.8,0.747084951,fault5
1.73309921,0.8,0.734072921,fault5
1.827919227,0.8,0.715500999,fault5
1.910447761,0.8,0.702485723,fault5
1.98595259,0.8,0.693173796,fault5
